url,name,price,description,images
https://wholesale-za.com/collections/all/products/a2-board-pack-of-5-160g-sheet,A2 BOARD PACK OF 5 160G SHEET,R 55.00,"Colours:
Black, white, red, blue, green, lilac, orange, yellow, gold and turquoise.","https://wholesale-za.com/cdn/shop/files/079-009701-a_{width}x.jpg?v=1704823931, https://wholesale-za.com/cdn/shop/files/079-009701-b_{width}x.jpg?v=1704823932, https://wholesale-za.com/cdn/shop/files/079-009702-d_{width}x.jpg?v=1704823931, https://wholesale-za.com/cdn/shop/files/079-009702-e_{width}x.jpg?v=1704823930, https://wholesale-za.com/cdn/shop/files/079-009702-f_{width}x.jpg?v=1704823931, https://wholesale-za.com/cdn/shop/files/079-009702-g_{width}x.jpg?v=1704823932, https://wholesale-za.com/cdn/shop/files/079-009702-h_{width}x.jpg?v=1704823931, https://wholesale-za.com/cdn/shop/files/079-009702-i_{width}x.jpg?v=1704823931, https://wholesale-za.com/cdn/shop/files/079-009702-n_{width}x.jpg?v=1704823932"
https://wholesale-za.com/collections/all/products/a2-corrugated-board-pack-of-10,A2 CORRUGATED BOARD PACK OF 10,R 128.00,"160gsm
Colours: White, Black, Green, Red, Yellow, Orange, Brown and Blue.","https://wholesale-za.com/cdn/shop/files/079-009707-c_{width}x.jpg?v=1714114784, https://wholesale-za.com/cdn/shop/files/079-009707-f_{width}x.jpg?v=1714114783, https://wholesale-za.com/cdn/shop/files/079-009707-a_{width}x.jpg?v=1714114784, https://wholesale-za.com/cdn/shop/files/079-009707-h_{width}x.jpg?v=1714114784, https://wholesale-za.com/cdn/shop/files/079-009707-b_{width}x.jpg?v=1714114783, https://wholesale-za.com/cdn/shop/files/079-009707-g_{width}x.jpg?v=1714114783, https://wholesale-za.com/cdn/shop/files/079-009707-e_{width}x.jpg?v=1714114784, https://wholesale-za.com/cdn/shop/files/079-009707-d_{width}x.jpg?v=1714114784"
https://wholesale-za.com/collections/all/products/a3-certificate-frame-black,A3 CERTIFICATE FRAME BLACK,R 159.95,,https://wholesale-za.com/cdn/shop/files/031-000902-d_{width}x.jpg?v=1707573467
https://wholesale-za.com/collections/all/products/a3-certificate-photo-frame,A3 CERTIFICATE PHOTO FRAME,R 112.95,Plastic type material.,https://wholesale-za.com/cdn/shop/files/031-000740-e_{width}x.jpg?v=1707393725
https://wholesale-za.com/collections/all/products/a3-certificate-picture-frame-marbled,A3 CERTIFICATE PICTURE FRAME MARBLED,R 157.00,,https://wholesale-za.com/cdn/shop/files/031-000841-g_{width}x.jpg?v=1707557376
https://wholesale-za.com/collections/all/products/a3-file-display-book-20-page,A3 FILE DISPLAY BOOK 20 PAGE,R 105.00,,https://wholesale-za.com/cdn/shop/files/007-000042_{width}x.jpg?v=1705144809
https://wholesale-za.com/collections/all/products/a3-home-and-office-basic-laminator,A3 Home And Office Basic Laminator,R 728.00,"Brainware A3 Home And Office Basic Laminator- Laminates Popular Sizes From A6 To A3, Hot Or Cold Laminating Mode, Lightweight And Portable , 2 x Roller Heating System Warm Up Time Of 3-6 Minutes, Easy To Use , 1 Hour Continuous Working Time, Laminating Speed At 350mm/Min, Colour Black, Retail Box ,6 Months Warranty
Product Overview
The Brainware ZATech Branded A3 Home And Office Basic Laminator is an entry-level laminator ideal for home and small office use. It efficiently laminates documents, certificates, diplomas, photographs, and more, handling documents up to A3 size with a high laminating speed of 350mm/min. This versatile machine operates with laminating pouches from A6 to A3 size, making it a perfect addition for craft and hobby projects, small work environments, and offices.Perfect for laminating photographs, documents, notices, ID cards, recipes, reusable menus, business cards, school projects, and various other items at home, school, or office environments.
Features
• Laminates Up To A3 Size: Suitable For Documents From A6 To A3.
• High Laminating Speed: 350mm/Min For Quick And Efficient Lamination.
• Versatile Pouch Compatibility: Supports A3, A4, A5, And A6 Pouch Sizes.
• 1 Hour Continuous Operation: Ideal For Extended Use Without Interruption.
• Quick Warm-Up Time: Ready To Use In 3-6 Minutes.
• Forward And Reverse Buttons: Easily Manage Misfeeds.
• Pulse Width Adjusted Heating: Ensures Consistent And Even Heating.
• 2 Roller Heating System: Provides Smooth And Wrinkle-Free Lamination.
• Supports Multiple Pouch Thicknesses: Compatible With 80, 100, And 125 Micron Hot Or Cold Pouches.
• Hot And Cold Lamination Modes: Safe For Heat-Sensitive Documents And Self-Adhesive Pouches.
• Auto Turn Off: Powers Down Automatically After 30 Seconds Of Inactivity.
• Lightweight And Portable: Ultra-Slim Design For Easy Use And Storage.","https://wholesale-za.com/cdn/shop/files/BW-LA3B-Header-1_{width}x.jpg?v=1725366388, https://wholesale-za.com/cdn/shop/files/Big_BW-LA3B-002a_{width}x.jpg?v=1725366388, https://wholesale-za.com/cdn/shop/files/Big_BW-LA3B-001a_{width}x.jpg?v=1725366388"
https://wholesale-za.com/collections/all/products/a3-ridges-photo-frame,A3 RIDGES PHOTO FRAME,R 120.00,,https://wholesale-za.com/cdn/shop/files/031-000872-d_{width}x.jpg?v=1707572808
https://wholesale-za.com/collections/all/products/a4-72-page-soft-cover-irish-margin-college-exercise-book,A4 72 PAGE SOFT COVER IRISH MARGIN COLLEGE EXERCISE BOOK,R 9.95,,https://wholesale-za.com/cdn/shop/files/007-000140_{width}x.jpg?v=1716973465
https://wholesale-za.com/collections/all/products/a4-adaptive-notebook,A4 Adaptive Notebook,R 95.00,"Removable cover to allow for inner notebook to be replaced once full. Notebook with 96 x 80gsm Sheets (192 yellow lined pages) and satin bookmark.
Colour(s):
Black
Material:
PU Cover
Size:
21 (w) x 29 (h) x 1.3 (d) cm","https://wholesale-za.com/cdn/shop/files/ST358BA4_2nd_{width}x.jpg?v=1732536826, https://wholesale-za.com/cdn/shop/files/ST358BA4_3rd_{width}x.jpg?v=1732536826, https://wholesale-za.com/cdn/shop/files/ST358BA4_1st_{width}x.jpg?v=1732536826"
https://wholesale-za.com/collections/all/products/a4-board-sheet-160g-pack-of-10,A4 BOARD SHEET 160G PACK OF 10,R 35.00,"Colours:
Black, white, red, grey, turquoise, green, gold, lilac, blue, yellow and orange,","https://wholesale-za.com/cdn/shop/files/079-009700-a_{width}x.jpg?v=1704823131, https://wholesale-za.com/cdn/shop/files/079-009700-b_{width}x.jpg?v=1704823131, https://wholesale-za.com/cdn/shop/files/079-009700-d_{width}x.jpg?v=1704823132, https://wholesale-za.com/cdn/shop/files/079-009700-e_{width}x.jpg?v=1704823132, https://wholesale-za.com/cdn/shop/files/079-009700-f_{width}x.jpg?v=1704823132, https://wholesale-za.com/cdn/shop/files/079-009700-g_{width}x.jpg?v=1704823131, https://wholesale-za.com/cdn/shop/files/079-009700-h_{width}x.jpg?v=1704823132, https://wholesale-za.com/cdn/shop/files/079-009700-i_{width}x.jpg?v=1704823131, https://wholesale-za.com/cdn/shop/files/079-009700-j_{width}x.jpg?v=1704823130, https://wholesale-za.com/cdn/shop/files/079-009700-l_{width}x.jpg?v=1704823130, https://wholesale-za.com/cdn/shop/files/079-009700-n_{width}x.jpg?v=1704823132"
https://wholesale-za.com/collections/all/products/a4-book-bag,A4 BOOK BAG,R 69.95,,https://wholesale-za.com/cdn/shop/files/007-082001_{width}x.jpg?v=1744811748
